CombinID,Player,Position,Height,Date_birth,Nationality,Website_player
BK4,Sam Van Rossom,Guard,1.88,03/06/1986,Belgium,http://www.acb.com/jugador.php?id=BK4
118,Marcus Eriksson,Forward,2.01,05/12/1993,Sweden,http://www.acb.com/jugador.php?id=118
117,Jaime Fernandez,Guard,1.86,04/06/1993,Spain,http://www.acb.com/jugador.php?id=117
BJP,Thomas Heurtel,Guard,1.89,10/04/1989,France,http://www.acb.com/jugador.php?id=BJP
Y7O,Nacho Llovet,Center,2.02,09/05/1991,Spain,http://www.acb.com/jugador.php?id=Y7O
BLI,Alex Suarez,Center,2.06,27/09/1993,Spain,http://www.acb.com/jugador.php?id=BLI
Y7W,Edu Martinez,Forward,2.00,05/05/1990,Spain,http://www.acb.com/jugador.php?id=Y7W
718,Albert Ventura,Guard,1.91,07/04/1992,Spain,http://www.acb.com/jugador.php?id=718
750,Pepe Pozas,Guard,1.82,14/05/1992,Spain,http://www.acb.com/jugador.php?id=750
BLE,Ondrej Balvin,Center,2.17,20/09/1992,Czech Rep.,http://www.acb.com/jugador.php?id=BLE
B5E,A. Corbacho,Forward,2.00,01/10/1984,Spain,http://www.acb.com/jugador.php?id=B5E
778,Ognjen Kuzmic,Center,2.14,16/05/1990,Bosnia and Herz.,http://www.acb.com/jugador.php?id=778
164,Kevin Seraphin,Center,2.06,07/12/1989,France,http://www.acb.com/jugador.php?id=164
170,Oliver Stevic,Center,2.04,18/01/1984,Serbia,http://www.acb.com/jugador.php?id=170
125,Adam Hanga,Forward,1.99,12/04/1989,Hungary,http://www.acb.com/jugador.php?id=125
714,Ferran Bassas,Guard,1.81,29/04/1992,Spain,http://www.acb.com/jugador.php?id=714
717,Alex Barrera,Guard,1.96,01/04/1992,Spain,http://www.acb.com/jugador.php?id=717
BLO,Daniel Diez,Forward,2.01,07/04/1993,Spain,http://www.acb.com/jugador.php?id=BLO
768,Victor Arteaga,Center,2.12,07/07/1992,Spain,http://www.acb.com/jugador.php?id=768
SHG,Alberto Diaz,Guard,1.88,23/04/1994,Spain,http://www.acb.com/jugador.php?id=SHG
