CombinID,Player,Position,Height,Date_birth,Nationality,Website_player
JBX,"Kalnietis, Mantas",Guard,1.95,06/09/1986,Lithuania,http://www.euroleague.net/competition/players/showplayer?pcode=JBX&seasoncode=E2017
004499,"Fontecchio, Simone",Guard,2.03,09/12/1995,Italy,http://www.euroleague.net/competition/players/showplayer?pcode=004499&seasoncode=E2017
008004,"Tarczewski, Kaleb",Center,2.13,26/02/1993,United States,http://www.euroleague.net/competition/players/showplayer?pcode=008004&seasoncode=E2017
BTG,"Cusin, Marco",Center,2.11,28/02/1985,Italy,http://www.euroleague.net/competition/players/showplayer?pcode=BTG&seasoncode=E2017
003527,"Abass, Awudu",Guard,1.98,27/01/1993,Italy,http://www.euroleague.net/competition/players/showplayer?pcode=003527&seasoncode=E2017
007993,"M&#39;baye, Amath",Forward,2.06,14/12/1989,France,http://www.euroleague.net/competition/players/showplayer?pcode=007993&seasoncode=E2017
007946,"Theodore, Jordan",Guard,1.83,11/12/1989,United States,http://www.euroleague.net/competition/players/showplayer?pcode=007946&seasoncode=E2017
007992,"Jefferson, Cory",Center,2.06,26/12/1990,United States,http://www.euroleague.net/competition/players/showplayer?pcode=007992&seasoncode=E2017
000436,"Bertans, Dairis",Guard,1.92,09/09/1989,Latvia,http://www.euroleague.net/competition/players/showplayer?pcode=000436&seasoncode=E2017
003120,"Gudaitis, Arturas",Center,2.08,19/06/1993,Lithuania,http://www.euroleague.net/competition/players/showplayer?pcode=003120&seasoncode=E2017
004418,"Mclean, Jamel",Center,2.03,18/04/1988,United States,http://www.euroleague.net/competition/players/showplayer?pcode=004418&seasoncode=E2017
004292,"Toliopoulos, Vassilis",Guard,1.88,15/06/1996,Greece,http://www.euroleague.net/competition/players/showplayer?pcode=004292&seasoncode=E2017
005161,"Papapetrou, Ioannis",Forward,2.07,30/03/1994,Greece,http://www.euroleague.net/competition/players/showplayer?pcode=005161&seasoncode=E2017
004429,"Agravanis, Dimitris",Forward,2.08,20/12/1994,Greece,http://www.euroleague.net/competition/players/showplayer?pcode=004429&seasoncode=E2017
003941,"Milutinov, Nikola",Center,2.13,30/12/1994,Serbia,http://www.euroleague.net/competition/players/showplayer?pcode=003941&seasoncode=E2017
000046,"Strelnieks, Janis",Guard,1.91,01/09/1989,Latvia,http://www.euroleague.net/competition/players/showplayer?pcode=000046&seasoncode=E2017
002744,"Tillie, Kim",Forward,2.1,15/07/1988,France,http://www.euroleague.net/competition/players/showplayer?pcode=002744&seasoncode=E2017
AMM,"Printezis, Georgios",Forward,2.05,22/02/1985,Greece,http://www.euroleague.net/competition/players/showplayer?pcode=AMM&seasoncode=E2017
001255,"Papanikolaou, Kostas",Forward,2.04,31/07/1990,Greece,http://www.euroleague.net/competition/players/showplayer?pcode=001255&seasoncode=E2017
003537,"Mantzaris, Vangelis",Guard,1.94,16/04/1990,Greece,http://www.euroleague.net/competition/players/showplayer?pcode=003537&seasoncode=E2017
001933,"Bogris, Georgios",Center,2.1,19/02/1989,Greece,http://www.euroleague.net/competition/players/showplayer?pcode=001933&seasoncode=E2017
008014,"Thompson, Hollis",Forward,2.03,03/04/1991,United States,http://www.euroleague.net/competition/players/showplayer?pcode=008014&seasoncode=E2017
007947,"Vildoza, Luca",Guard,1.91,11/08/1995,Italy,http://www.euroleague.net/competition/players/showplayer?pcode=007947&seasoncode=E2017
005718,"Timma, Janis",Forward,2.01,02/07/1992,Latvia,http://www.euroleague.net/competition/players/showplayer?pcode=005718&seasoncode=E2017
007201,"Voigtmann, Johannes",Center,2.14,30/09/1992,Germany,http://www.euroleague.net/competition/players/showplayer?pcode=007201&seasoncode=E2017
JUJ,"Huertas, Marcelinho",Guard,1.9,25/05/1983,Italy,http://www.euroleague.net/competition/players/showplayer?pcode=JUJ&seasoncode=E2017
004165,"Janning, Matt",Guard,1.93,22/06/1988,United States,http://www.euroleague.net/competition/players/showplayer?pcode=004165&seasoncode=E2017
003540,"Diop, Ilimane",Center,2.11,04/04/1995,Spain,http://www.euroleague.net/competition/players/showplayer?pcode=003540&seasoncode=E2017
003024,"Granger, Jayson",Guard,1.89,15/09/1989,Italy,http://www.euroleague.net/competition/players/showplayer?pcode=003024&seasoncode=E2017
004887,"Poirier, Vincent",Center,2.13,17/10/1993,France,http://www.euroleague.net/competition/players/showplayer?pcode=004887&seasoncode=E2017
001133,"Shengelia, Tornike",Center,2.03,05/10/1991,Georgia,http://www.euroleague.net/competition/players/showplayer?pcode=001133&seasoncode=E2017
BCV,"Delfino, Carlos",Forward,1.98,29/08/1982,Italy,http://www.euroleague.net/competition/players/showplayer?pcode=BCV&seasoncode=E2017
008002,"Mccallum, Ray",Guard,1.9,12/06/1991,United States,http://www.euroleague.net/competition/players/showplayer?pcode=008002&seasoncode=E2017
