competition,player_name_norm,rows,written_variants,variants
eurocup,gordon drew,12,1,"Gordon, Drew"
eurocup,hendrix richard,12,1,"Hendrix, Richard"
eurocup,ivlev vladimir,12,1,"Ivlev, Vladimir"
eurocup,johnson chris,12,1,"Johnson, Chris"
eurocup,kahudi charles,12,1,"Kahudi, Charles"
eurocup,khvostov dmitry,12,1,"Khvostov, Dmitry"
eurocup,kramer chris,12,1,"Kramer, Chris"
eurocup,lacey trevor,12,1,"Lacey, Trevor"
eurocup,lukauskis mindaugas,12,1,"Lukauskis, Mindaugas"
eurocup,macvan milan,12,1,"Macvan, Milan"
eurocup,nichols demetris,12,1,"Nichols, Demetris"
