model,seed,fold,competition,n_test,mae,rmse,r2
MLP_small_RLR_Huber,123,4,euroleague,161,5.281191744906832,7.122898542972349,0.2101402423166593
MLP_small_RLR_Huber,123,5,acb,340,5.183665819852941,6.837527932540082,0.1941510274673408
MLP_small_RLR_Huber,123,5,eurocup,163,5.5073426341104295,7.2015117861470594,0.25947748553645333
MLP_small_RLR_Huber,123,5,euroleague,333,5.175631156936937,6.8310460698755024,0.24818891492329254
MLP_small_RLR_Huber,2026,1,acb,189,5.6503186605291,7.416880037949914,0.08288841510674383
MLP_small_RLR_Huber,2026,1,eurocup,233,5.980255756008584,7.759505977046128,0.17706258124013818
MLP_small_RLR_Huber,2026,1,euroleague,317,5.6682700172870675,7.294313343755565,0.15355685617170245
MLP_small_RLR_Huber,2026,2,acb,249,5.78634601751004,7.411882392342638,-0.06729989830877225
MLP_small_RLR_Huber,2026,2,eurocup,237,6.28502778278481,8.19133114622508,0.09292193534589033
MLP_small_RLR_Huber,2026,2,euroleague,161,5.9405758813043485,7.803426221920311,0.1461920452400598
MLP_small_RLR_Huber,2026,3,acb,193,5.272791597979276,6.751140787288371,0.12957658888558055
MLP_small_RLR_Huber,2026,3,eurocup,165,5.931376260969698,7.994388261069686,0.2236475807622449
MLP_small_RLR_Huber,2026,3,euroleague,164,5.690845376646342,7.436775093319317,0.12018478933020693
MLP_small_RLR_Huber,2026,4,acb,190,6.051397755894738,7.61133369230733,0.1578375647847926
MLP_small_RLR_Huber,2026,4,eurocup,166,5.898073425240964,7.789804766318275,0.11097540564407293
MLP_small_RLR_Huber,2026,4,euroleague,161,5.426840699378882,7.339083637388819,0.1614670266203534
MLP_small_RLR_Huber,2026,5,acb,340,5.303581166147059,6.977640174509667,0.16078629200935501
MLP_small_RLR_Huber,2026,5,eurocup,163,5.576184842638036,7.3199013763142755,0.23492964379239012
MLP_small_RLR_Huber,2026,5,euroleague,333,5.183302412372371,6.81522198751066,0.251668013458471
